ID,Xshape,Yshape,File_Extension
319,300,412,jpg
320,300,451,jpg
321,300,400,jpg
322,300,242,jpg
323,300,451,jpg
324,300,436,jpg
325,300,200,jpg
326,300,443,jpg
327,300,243,jpg
328,300,442,jpg
329,300,451,jpg
330,300,405,jpg
331,300,400,jpg
332,300,335,jpg
333,300,200,jpg
334,300,451,jpg
335,300,407,jpg
336,300,200,jpg
337,300,225,jpg
338,300,450,jpg
339,300,200,jpg
340,300,540,jpg
341,300,400,jpg
342,300,200,jpg
343,300,144,jpg
344,300,400,jpg
345,300,375,jpg
346,300,199,jpg
347,300,225,jpg
348,300,313,jpg
349,300,451,jpg
350,300,400,jpg
351,300,225,jpg
352,300,200,jpg
353,300,225,jpg
354,300,400,jpg
355,300,256,jpg
356,300,400,jpg
357,300,300,jpg
358,300,450,jpg
359,300,497,jpg
360,300,200,jpg
361,300,400,jpg
362,300,451,jpg
363,300,452,jpg
364,300,419,jpg
365,300,400,jpg
366,300,462,jpg
367,300,212,jpg
368,300,300,jpg
369,300,428,jpg
370,300,225,jpg
371,300,400,jpg
372,300,433,jpg
373,300,338,jpg
374,300,450,jpg
375,300,451,jpg
376,300,451,jpg
377,300,510,jpg
378,300,451,jpg
379,300,471,jpg
380,300,374,jpg
381,300,451,jpg
382,300,451,jpg
383,300,452,jpg
384,300,655,jpg
385,300,311,jpg
386,300,384,jpg
387,300,477,jpg
388,300,449,jpg
389,300,450,jpg
390,300,400,jpg
391,300,509,jpg
392,300,449,jpg
393,300,225,jpg
394,300,474,jpg
395,300,418,jpg
396,300,433,jpg
397,300,208,jpg
398,300,240,jpg
399,300,533,jpg
400,300,225,jpg
401,300,450,jpg
402,300,450,jpg
403,300,276,jpg
404,300,427,jpg
405,300,450,jpg
406,300,451,jpg
407,300,200,jpg
408,300,201,jpg
409,300,486,jpg
410,300,400,jpg
411,300,380,jpg
412,300,200,jpg
413,300,400,jpg
414,300,200,jpg
415,300,225,jpg
416,300,451,jpg
417,300,436,jpg
418,300,421,jpg
419,300,225,jpg
420,300,203,jpg
421,300,199,jpg
422,300,450,jpg
423,300,450,jpg
424,300,220,jpg
425,300,400,jpg
426,300,449,jpg
427,300,199,jpg
428,300,400,jpg
429,300,249,jpg
430,300,450,jpg
431,300,412,jpg
432,300,199,jpg
433,300,450,jpg
434,300,543,jpg
435,300,199,jpg
436,300,426,jpg
437,300,568,jpg
438,300,199,jpg
439,300,450,jpg
440,300,199,jpg
441,300,200,jpg
442,300,398,jpg
443,300,447,jpg
444,300,225,jpg
445,300,488,jpg
446,300,300,jpg
447,300,225,jpg
448,300,362,jpg
449,300,451,jpg
450,300,300,jpg
451,300,400,jpg
452,300,200,jpg
453,300,451,jpg
454,300,200,jpg
455,300,225,jpg
456,300,415,jpg
457,300,225,jpg
458,300,459,jpg
459,300,204,jpg
460,300,433,jpg
461,300,239,jpg
